business_id,text,Authenticity
__rNL7RODe1D85sWuU-FKg,"I have to say I was a bit disappointed....pricey and mediocre. The chicken noodle soup  had the requisite chicken, carrots, and celery, but had an overbearing taste of turnips or parsnips. Would have preferred an authentic basic Jewish broth. The $11  club sandwich had a fried egg inserted next to the bread. Didn't make much sense and seemed to interfere the classic taste of a club. The accompanying fries were great. 

Looking around the room, I saw the chicken a la king where the waffels dominated the plate,  with a meager count of little dark meat morsels. The $11 hamburger looked like Mawby's with grilled onions, but could be consumed in three bites.  The staff was freindly and attentive, but I think it really makes sense to go there for breakfast. But it probably wouldn't be as good as Corky's or Jack's.",0
__rNL7RODe1D85sWuU-FKg,"I recently visited while in town and had a fantastic experience. My two young sons and I ate at the counter, which was really fun and made the experience even more authentic to this well designed and light filled diner.  I had a veggie omelet and the boys had hot dogs and burgers. You could tell that everything was fresh and made on site and had similar quality to Chef Katz's other restaurant, Fire. My son declared it to be the second best burger of his entire life. The fries were delicious and we were especially intrigued with the wide variety of impressive desserts. We tried the homemade Oreo and a chocolate chip cookie and left craving more.  I will definitely visit again on another trip for any meal or even late night grub since they are open so late. I only wish that I lived closer to stop on my way to work for a latte and scone.  It's definitely worth getting into your regular rotation. Yum!",1
__rNL7RODe1D85sWuU-FKg,"This place is awful. Don't be confused by the fact that the building looks pretty cool, and the 7 layer chocolate cake is pretty damn good. Because the service is TERRIBLE.

I went in with a friend for an after-dinner coffee and dessert. A simple enough order, right? WRONG. We were ignored even though the diner was completely empty except the four Walking Dead extras dressed in their finest 50s attire that were sloughing around pretending to be waiters. 

After what seemed like an eternity, one zombie caught a glimpse of what must have been a shadow of a memory from their human life and listlessly shuffled forward, to take our order.

While zombie #1 was making the coffees, zombie #2 reanimated, producing a haunting utterance which we took as the closest thing to an inquiry of any further desires. We asked to be served a slice of chocolate cake. She stared at us dumbfounded, the life in her eyes gone now. ""Oh...He cuts the cakes,"" she grunted.

You can't cut cakes? We're not drilling to the center of the earth. We're just asking that you slide a piece of thin metal through a piece of soft pastry. But fine. Maybe there's a process that the rest of the human race is simply not privy to about the intricacies of cake separation and distribution.

When we were finally served, zombie #1 walks right by a heaping rack of pristine white coffee mugs and elects instead to pour our drinks into paper to-go cups. Paper cups? What the literal fuck?! This isn't freaking rush hour. Its 9:00 PM; we are obviously here to enjoy a little coffee talk over a slice of cake in your otherwise lovely establishment like normal non-dead humans do. 

Finally, the master of cake slicing has freed up a moment of his precious time to slice on our behalf. He walks past a stack of perfectly good desert plates, grabs a to-go box for the cake, and OH HELL NAH! We ain't going nowhere! Put our cake on a plate, mother trucker! 

I get it. This is a 50s establishment, and you're just trying to create an authentic experience. And us being a Latina and an African American...we should have known better. Our kind ain't welcome in these parts. Maybe we should have used the back door.",0
__rNL7RODe1D85sWuU-FKg,"Do I love diners? Why yes, I LOVE diners. Do I love the Katz Club Diner? YES YES YES!

I've always been a sucker for diners. My favorite memories in college is sitting in a local diner, getting my eggs, toast, and sausage with weak coffee for a price tag of $5. Sure, the inside of diners were always dingy and ugly, but hey, it's comforting. Take a step up- Coney Islands. Oh, how I miss the Coney Islands of Michigan. Sigh. Nevertheless, when I stepped into the Katz Club Diner, I felt a sigh of relief. Yes, here was my diner...but a fancier one than what I have had in the past.

The Katz Club Diner is pretty cool- from the guy who owns Fire, it's a half diner restaurant car, and a half speakeasy car. You want good food? Go to the left. You want a speakeasy lounge? Go to the side door on the side of the car.

Went here on two occasions:
For dinner:
- He got the chicken and waffles- oh man, that was a great tasting waffle and great chicken. It's not your typical fried chicken with waffle- it's more of a light fluffy waffle with almost a stir fry dark meat chicken on top..with some type of gravy. Nonetheless, that was the win of the night.
- I got the monte cristo sandwich. It was good...and BIG. The sizes they give you....are quite hefty. Nonetheless, it was good.

For breakfast:
- WIN: They serve Rising Star coffee! I've taken a step up from the weak watery coffee that I'm used to in the diners I used to frequent.
- He got an omelette. It was good and solid.
- I got the corned beef hash. Whew- that was one heavy corn hash. It was good though! Picture thick cuts of corned beef... Mmmmmm. Good stuff. With a side of toast. Mmmm.

You'll be definitely full here. But the wait staff is great and knowledgeable, and they serve great food with even a pastry window near the entrance as well. But you know what I love most about it? The FEEL of a diner. What makes it authentic? When old couples come in to eat breakfast together. When old men sit by themselves, eating their breakfast and reading their newspaper. Where the locals frequent. That's a diner for ya. Sure, it's a fancy diner, but hey, it's a diner, and I like it. Check it out when you get a chance.",1
_5inlOVvlrCOKcI772RqJQ,This Benihana location is not what it used to be the food does not taste the way it used to taste the sushi taste very bland all the chefs are not Asian Japanese or Chinese so if you're going for an authentic feel you won't find it here it is a lot more pricier than the competitors but unfortunately Benihana is a thing of the past at least in Beachwood I would highly recommend going to Wasabi's on Rockside Road or Fiji Japan in Macedonia if I woulda wrote this review 2 years ago it would have been 5 stars but this place is really gone bad I know them when they used to be the samurai and the samurai was 100 times better than benihanas but Benihana was good I guess for the last 15 years but now it's just terrible the food didn't even taste like Japanese food to me. And to top it all off it was my wife's birthday and I told the manager and our chef and our server and when the time came to leave they didn't even want to sing happy birthday for us or bring a dessert and told us we're very short staffed right now but meanwhile the tables next to us had people that work at the restaurant singing happy birthday and taking pictures of them very unpleasant service we received that is very expensive for nothing.,0
_8Os_hsIMqO7njlJChHdvA,"If you want authentic, homemade Croatian food this is THE place.  Owned by a family from Hercegovina, the food is made by mom and the daughters and simply can not be beat!  Tonight I had their homemade meatloaf, made with the same mix of meats they use in their Sarma (aka cabbage rolls), served with tasty Croatian home fries and fresh bread.  You can wash it down with a Croatian beer, Karovacko Pivo.  Their Sarma is genuine made with soured cabbage leaves, plenty of flavor from the paprika.... and NO tomatoes.  The best you will find.",1
_8Os_hsIMqO7njlJChHdvA,"I finally found a restaurant in Cleveland that serves authentic Croatian cuisine! The stuffed cabbage, cevapi, and city chicken take me back to some of my favorite restaurants in Croatia! Really generous portions at affordable prices and excellent customer service! Definitely give it a try!",1
_doekI31rRF3iLOZhbzVeg,"Wow what a awesome experience I ordered the carne Assada dinner everything was great steak tacos looked awesome there's a mini authentic taco bar too and the fried ice cream is just great I'm defidently gonna be a regular !!! 


Update carne Asada was dissatisfying and lacked the greatness it once was maybe a new chef. They need to serve chips and salsa and maybe upgrade menu",0
_doekI31rRF3iLOZhbzVeg,Wow what a awesome experience I ordered the carne Assada dinner everything was great steak tacos looked awesome there's a mini authentic taco bar too and the fried ice cream is just great I'm defidently gonna be a regular !!!,1
_doekI31rRF3iLOZhbzVeg,Best spot for authentic street tacos.  The staff here is supper friendly and the service is always fast. And try the Horchata. This is probably one of very few Mexican restaurants who actually have it.,1
